Movie,Scene,Character,Dialogue,Sentiment_Score,Sentiment_Label,Emotion_Label
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,BATEMAN V/O,"...with goat cheese profiteroles and i also havean.arugula caesar salad. for entrees tonight i have a swordfish meatloaf with onion marmalade, a rareroasted partridge breast in raspberry coulis with a sorrel timbale... huge white porcelain plates descend on very pale pink linen table cloths. each entree is a rectangle about four inches square and looks exactly alike. close on various diners as we hear fragments of conversation. ""is that charley sheen over there?"" ""excuse me? i ordered cactus pear sorbet."" ...and grilled free range rabbit with herbed french fries. ourpasta tonight is a squid ravioli in a lemon grass broth... close on porcelain plates containing elaborate perpendicular desserts descending on another table. patrick bateman, timothy price, craig mcdermott and david van patten are at a table set for four. they are all wearing expensively cut suits, suspendprs, slicked back hair. van patten wears horn rimmed glasses. thecamera moves in on bateman as his narration begins",0.6868,Positive,Neutral
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"you'll notice that my friends and i all look and behave in a remarkably similar fashion but there are subtle differences between us. mcdermott is the biggest asshole. van patten is the yes man. price is the most wired. i'm the best looking. we all have light tans. right now i'm in a bad mood because this is not a good table, and van patten keeps asking dumb, obvious questions about how to dress... what are the rules for a sweater vest? what do you mean? yes. clarify. well, is it strictly informalbateman or can it be worn with a suit? exactly. with discreet pinstripes you should wear a subdued blue or charcoal gray vest. a plaid suit would call for a bolder vest. but avoid matching the vest's pattern with your socks or tie. wearing argyle socks with an argyle vest will look too studied.",0.4644,Positive,Anger
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"you think so? you'll look like you consciously worked for the look. good point. excuse me, gentlemen. van patten leaves the table. as he does so a bus boy discretely removes their largely untouched plates. van patten looks puffy. has he stopped working out? it looks that way, doesn't it? did he just take our plates away? he took them away because the portions are so small he probably thought we were finished. god i hate this place. this is a chick's restaurant. why aren't we at dorsia? because bateman won't give the maitre d'head. bateman throws a swizzle stick at him. mcdermott scans the room, settling on a handsome young man with slicked back hair and hornrimmed glasses. is that reed robinson over there? are you freebasing or what? that's not robinson. who is it then?",0.737,Positive,Sadness
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"that s paul owen. that's not paul owen. paul owen's on the other side of the room. over there. he points to another handsome young man with slicked back hair and'hornrimmed glasses. who is he with? some weasel from kicker peabody. van patten returns. they don' t have a good bathroom to do coke in. are you sure that's paul owen over there? yes, mcdufus, i am. he's handling the fisher account. lucky bastard. lucky jew bastard. oh jesus, mcdermott, what does that have to do with anything?",0.8496,Positive,Surprise
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,VAN PATTEN,"you spin a dreidel, mcdermott, not a menorah. you spin a dreidel. oh my god bateman, do you want me to fry you up some fucking potato pancakes? some latkes? no. just cool it with the antisemitic remarks. oh i forgot. bateman's dating someone from the aclu. price leans over and pats bateman on the back. the voice of reason. the boy next door. and speaking of reasonable... he shows mcdermott the bill for the meal. only 470. not bad. the others murmur agreement. four platinum amex cards slap down on the table.",0.8594,Positive,Neutral
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,VAN PATTEN,last week i picked up this vassar chick,0.0,Neutral,Joy
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,MCDERMOTT,"but i never told you what happened afterwards. so okay, i pick up this vassar chick at tunnel hot number, big tits, great legs, this chick was a little hardbody and so i buy her a couple of champagne kirs and she's in the city on spring break and she's practically blowing me in the chandelier room and so i take her back to my place whoa, wait. may i ask where pamela is during all this? oh fuck you. i want a blowjob, bateman. i want a chick who's gonna let me i don't want to hear this. he's going to say something disgusting. you prude. listen, we're not gonna invest in a coop together or jet down to saint bart's. i just want some chick whose face i can sit on for thirty, forty minutes. price throws a cigar at mcdermott, who catches it. anyway, so were back at my place,and listen to this. she's had enough champagne by now to get a fucking rhino tipsy, and get this she let you fuck her without a condom?",0.1647,Positive,Disgust
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,IN UNISON,never date a vassar girl.,0.0,Neutral,Disgust
AMERICAN_PSYCHO,EXT. 'TUNNEL'NIGHTCLUB - NIGHT,PRICE,"i suppose he doesn't want the car. price, ask him if he takes american express. you take amex, dude? the man stumbles away. the club doorman, seeing the limousine, unhooks the velvet rope and welcomes them inside.",0.3565,Positive,Surprise
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",PRICE,"i'm not sure, guy, but i don't think dyslexia is a virus. oh, who knows? they dont know that. prove it. price and bateman finally get a stall and rush in. price is sweating. i'm shaking. you open it. bateman opens a tiny packet of coke. jeez. that's not a helluva a lot, is it? maybe it's just the light. is he fucking selling it by the milligram? oh my god... what?",-0.6899,Negative,Surprise
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",BATEMAN,it's a fucking milligram of sweet 'n' low! bateman dips his amex in the envelope and snorts.,0.3518,Positive,Disgust
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",PRICE,"i want to get high off this, bateman, not sprinkle it on my fucking allbran. the guy in stall next door yells at them in an effeminate voice could you keep it down, i'm trying to do drugs! price pounds his fist against the stall. shut up! calm down. let's do it anyway. i guess you're right... that is, if the faggot in the next stall thinks it's okay! fuck you!",-0.8741,Negative,Anger
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",BATEMAN,"no, fuck you!! sorry, dude. steroids... okay, lets do it. that's the spirit. they both dig their platinum amex cards into, the envelope of white powder, shoveling it up their noses, then sticking their fingers' in to catch the residue and rubbing it into their gums.",-0.6103,Negative,Disgust
AMERICAN_PSYCHO,INT. NIGHTCLUB - NIGHT,BATEMAN,two stoli on the rocks. he hands her two drink tickets. it's after eleven. those aren't good any more. it's a cash bar. that'll be twenty five dollars. bateman pulls out an expensive looking wallet and hands her a fifty. she turns her back and searches the cash register for change. you are a fucking ugly bitch i want to stab to death and then play around with your blood. the music muffles his voice. she turns round. he is smiling at her. she gives him his change impassively.,-0.9155,Negative,Anger
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"my name is patrick bateman. i am twenty six years old. i live in the american garden buildings on west 81st st., on the eleventh floor. tom cruise lives in the penthouse. bateman walks into his bathroom, urinates while trying to see his reflection in a poster for 'les miserables' above his toilet.",0.0,Neutral,Surprise
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"i believe in taking care of myself, in a balanced diet, in a rigorous exercise routine. in the morning, if my face is a little puffy, i'll put on an ice pack while doing my stomach crunches. i can do a thousand now. bateman ties a plastic ice pack around his face. bateman does his morning stretching exercises in the living room wearing the ice pack a mirror lined bathroom. bateman is luxuriating in the shower steam, scrubbing his body, admiring his muscles. after i remove the icepack i use a deep pore cleanser lotion. in the shower i use a water activated gel cleanser, then a honeyalmond body scrub, and on the face an exfoliating gel scrub. bateman stands in front of a massive marble sink applying a gel facial masque. then i apply a herb mint facial masque which i leave on for ten minutes while i prepare the rest of my routine. bateman opens the door of a mirrored cabinet, which is stocked with immaculate rows of skin care products. he begins selecting bottles, jars and brushes, laying them in readiness on the marble counter. i always use an aftershave lotion with little or no alcohol because alcohol dries your face out and makes you look older. then moisturizer, then an antiaging eye balm, followed by a final moisturizing ""protective"" lotion...",0.7769,Positive,Neutral
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"there is an idea of a patrick bateman, some kind of abstraction, but there is no real me, only an entity, something illusory, and though i can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable i simply am not there.",-0.1531,Negative,Fear
AMERICAN_PSYCHO,INT. BATEMAN BEDROOM - MORNING,BATEMAN V/O,"it is hard for me to make sense on any given level. myself is fabricated, an aberration. my personality is sketchy and unformed, my heartlessness goes deep and is persistent. fully dressed in armani, bateman stands in front of a full length mirror in the middle of his vast bedroom, adjusting his cuff links. my conscience, my pity, my hopes disappeared a long time ago, if they ever did exist. he gives a last look at the mirror and likes what he sees. he gives his reflection a smile.",-0.0516,Negative,Sadness
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,MAN,"morning, hamilton. nice tan. bateman walks past the desk of jean, his secretary, pulling his walkman from around his neck. jean is attractive, wholesome, earnest. she smiles shyly. she loves him. late?",0.9337,Positive,Joy
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,JEAN,aerobics class. sorry. any messages? ricky hendricks has to cancel today. he didn't say what he was canceling or why. i occasionally box with ricky at the harvard club. anyone else? and... spencer wants to meet you for a drink at fluties pier 17. when?,-0.4291,Negative,Sadness
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,BATEMAN,"after six. negative. cancel it. jean follows him into his office. oh? and what should i say? just...say...no. just say no? jean stands at his desk, waiting for instructions.",-0.8146,Negative,Sadness
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,JEAN,"yes sir. she turns to leave. oh wait. and i need reservations for two at arcadia at eight tonight. jean turns around. oh, something...romantic? no, silly. forget it. i'll make them. thanks. i'll do it. no. no. be a doll and just get me a perrier, okay? you look nice today. jean exits. bateman straightens some magazines in his office, lifts a painting off the wall and puts it back at a slightly different angle. he fiddles with some pencils in a beer stein. he puts on some music and flips through a sports illustrated. he buzzes jean. she comes in a moment later with the perrier and a file. yes?",0.7131,Positive,Neutral
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,BATEMAN,is that the ransom file? thanks. don't wear that outfit again. ummm... what? i didn't hear you.,0.504,Positive,Surprise
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,BATEMAN,"you dont like this, i take it? come on, you're prettier than that. thanks, patrick. the phone rings and jean turns to leave. i'm not here. and high heels. i like high heels. as jan leaves, bateman clicks on the tv set in one corner of the room and starts watching jeopardy!",-0.2052,Negative,Fear
AMERICAN_PSYCHO,INT. TAXI - EVENING,BATEMAN V/O,"i'd want a zydeco band, patrick. that's what i'd want, a zydeco band. or mariachi. or reggae. something ethnic to shock daddy. oh, i can't decide... and lots of chocolate truffles. godiva. and oysters on the halfshell. close on bateman, who is wearing a walkman and staring out the window.",-0.25,Negative,Surprise
AMERICAN_PSYCHO,INT. TAXI - EVENING,EVELYN,"marzipan. pink tents. hundreds, thousands of roses. photographers. annie leibovitz. we'll get annie liebovitz. and we'll hire someone to videotape. patrick, we should do it. do....what. get married. have a wedding. evelyn?",0.0,Neutral,Surprise
AMERICAN_PSYCHO,INT. TAXI - EVENING,BATEMAN,"yes, darling? is your evian spiked? we should do it. no i can't take the time off work. your father practically owns the company. you can do anything you like, silly. i don't want to talk about it. well you hate that job anyway. why don't you just quit? you don't have to work. because i...want...to... fit...in.",0.6826,Positive,Sadness
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,BATEMAN,"im on the verge of tears by the time we arrive at espace since i'm positive we won't have a decent table, but we do, and relief washes over me in an awesome wave. tim price and two downtown types, stash and vanden are already seated. vanden is about twenty, pretty and sullen, with green streaks in her black hair. stash is pale, with, ragged black hair and bad skin. they are all trying to read large stainless steel menus that look like minimalist art. the menu's in braille. he gets up to greet them, giving evelyn a suspiciously long kiss. i have to talk to you. he drags her away, half giggling and protesting. pat, this my cousin vanden and her boyfriend stash. he's an artist. hi. pat bateman. vanden takes his hand reluctantly, says nothing. let me guess you live in the east village?",0.9601,Positive,Joy
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,CARRUTHERS,"stop it! stash and vanden watch them in silence. price is whispering in evelyn's ear. everyone else is quietly eating, except bateman, who is drinking and watching evelyn and price. i am fairly sure that timothy and evelyn are having an affair. timothy is the only interesting person i know. courtney is almost perfect looking. she's usually operating on one or more psychiatric drugs. tonight i believe it's xanax. more disturbing than her drug use, though, is the fact that she's engaged to luis carruthers, the biggest dufus in the business. courtney rouses herself from her drug haze. tell me, stash...do you think soho is becoming too...commercial? yes, i read that.",0.8077,Positive,Fear
