Movie,Scene,Character,Dialogue,Sentiment_Score,Sentiment_Label,Emotion_Label,Word_Count,Sentence_Count,Words_Per_Sentence,Lexical_Diversity_TTR,Hesitation_Markers,Is_Question,condescending,empathetic,supportive,respectful,mocking,dismissive,Empathy_Score,Dominant_Trait
SW_EpisodeVI,UNKNOWN_SCENE,467 LEIA I,"""468"" ""han"" ""ahhh..."" ""469"" ""han"" ""i'm sorry."" ""470"" ""leia"" ""hold me."" ""471"" ""commander"" ""this is a rebel that surrendered to us. although he denies it, i believe there may be more of them, and i request permission to conduct a further search of the area."" ""472"" ""commander"" ""he was armed only with this."" ""473"" ""vader"" ""good work, commander. leave us. conduct your search and bring his companions to me."" ""474"" ""commander"" ""yes, my lord."" ""475"" ""vader"" ""the emperor has been expecting you."" ""476"" ""luke"" ""i know, father."" ""477"" ""vader"" ""so, you have accepted the truth."" ""478"" ""luke"" ""i've accepted the truth that you were once anakin skywalker, my father."" ""479"" ""vader"" ""that name no longer has any meaning for me."" ""480"" ""luke"" ""it is the name of your true self. you've only forgotten. i know there is good in you. the emperor hasn't driven it from you fully. that is why you couldn't destroy me. that's why you won't bring me to your emperor now."" ""481"" ""vader"" ""i see you have constructed a new lightsaber."" ""482"" ""vader"" ""your skills are complete. indeed, you are powerful, as the emperor has foreseen."" ""483"" ""luke"" ""come with me."" ""484"" ""vader"" ""obiwan once thought as you do."" ""485"" ""vader"" ""you don't know the power of the dark side. i must obey my master."" ""486"" ""luke"" ""i will not turn...and you'll be forced to kill me."" ""487"" ""vader"" ""if that is your destiny."" ""488"" ""luke"" ""search your feelings, father. you can't do this. i feel the conflict within you. let go of your hate."" ""489"" ""vader"" ""it is too late for me, son. the emperor will show you the true nature of the force. he is your master now."" ""490"" ""luke"" ""then my father is truly dead."" ""491"" ""leia"" ""the main entrance to the control bunker's on the far side of that landing platform. this isn't gonna be easy."" ""492"" ""han"" ""hey, don't worry. chewie and me got into a lot of places more heavily guarded than this."" ""493"" ""leia"" ""what's he saying?"" ""494"" ""threepio"" ""he says there's a secret entrance on the other side of the ridge."" ""495"" ""lando"" ""admiral, we're in position. all fighters accounted for."" ""496"" ""ackbar"" ""proceed with the countdown. all groups assume attack coordinates."" ""497"" ""lando"" ""don't worry, my friends are down there. they'll have that shield down on time... or this'll be the shortest offensive of all time."" ""498"" ""ackbar"" ""all craft, prepare to jump to hyperspace on my mark."" ""499"" ""lando"" ""all right. stand by."" ""500"" ""han"" ""back door, huh? good idea."" ""501"" ""han"" ""it's only a few guards. this shouldn't be too much trouble."" ""502"" ""leia"" ""well, it only takes one to sound the alarm."" ""503"" ""han"" ""then we'll do it real quietlike."" ""504"" ""threepio"" ""oh! oh, my. uh, princess leia!"" ""505"" ""leia"" ""quiet."" ""506"" ""threepio"" ""i'm afraid our furry companion has gone and done something rather rash."" ""507"" ""leia"" ""oh, no."" ""508"" ""han"" ""there goes our surprise attack."" ""509"" ""scout"" ""look! over there! stop him!"" ""510"" ""han"" ""not bad for a little furball. there's only one left. you stay here. we'll take care of this."" ""511"" ""threepio"" ""i have decided that we shall stay here."" ""512"" ""emperor"" ""welcome, young skywalker. i have been expecting you."" ""513"" ""emperor"" ""you no longer need those."" ""514"" ""emperor"" ""guards, leave us."" ""515"" ""emperor"" ""i'm looking forward to completing your training. in time you will call me master."" ""516"" ""luke"" ""you're gravely mistaken. you won't convert me as you did my father."" ""517"" ""emperor"" ""oh, no, my young jedi. you will find that it is you who are mistaken...about a great many things."" ""518"" ""vader"" ""his lightsaber."" ""519"" ""emperor"" ""ah, yes, a jedi's weapon. much like your father's. by now you must know your father can never be turned from the dark side. so will it be with you."" ""520"" ""luke"" ""you're wrong. soon i'll be dead...and you with me."" ""521"" ""emperor"" ""perhaps you refer to the imminent attack of your rebel fleet."" ""522"" ""emperor"" ""yes...i assure you we are quite safe from your friends here."" ""523"" ""luke"" ""your overconfidence is your weakness."" ""524"" ""emperor"" ""your faith in your friends is yours."" ""525"" ""vader"" ""it is pointless to resist, my son."" ""526"" ""emperor"" ""everything that has transpired has done so according to my design. your friends up there on the sanctuary moon..."" ""527"" ""emperor"" ""...are walking into a trap. as is your rebel fleet! it was i who allowed the alliance to know the location of the shield generator. it is quite safe from your pitiful little band. an entire legion of my best troops awaits them."" ""528"" ""emperor"" ""oh...i'm afraid the deflector shield will be quite operational when your friends arrive."" ""529"" ""han"" ""all right! up! move! come on! quickly! quickly, chewie."" ""530"" ""leia"" ""han! hurry! the fleet will be here any moment."" ""531"" ""han"" ""charges! come on, come on!"" ""532"" ""threepio"" ""oh, my! they'll be captured!"" ""533"" ""threepio"" ""wawait! wait, come back! artoo, stay with me."" ""534"" ""commander"" ""freeze! you rebel scum."" ""535"" ""lando"" ""all wings report in."" ""536"" ""wedge"" ""red leader standing by."" ""537"" ""gray leader"" ""gray leader standing by."" ""538"" ""green leader"" ""green leader standing by."" ""539"" ""wedge"" ""lock sfoils in attack positions."" ""540"" ""ackbar"" ""may the force be with us."" ""541"" ""lando"" ""we've got to be able to get some kind of a reading on that shield, up or down. well, how could they be jamming us if they don't know if we're coming."" ""542"" ""lando"" ""break off the attack! the shield is still up."" ""543"" ""red leader"" ""i get no reading. are you sure?"" ""544"" ""lando"" ""pull up! all craft pull up!"" ""545"" ""ackbar"" ""take evasive action! green group, stick close to holding sector mv7."" ""546"" ""controller"" ""admiral, we have enemy ships in sector 47."" ""547"" ""ackbar"" ""it's a trap!"" ""548"" ""lando"" ""fighters coming in."" ""549"" ""rebel pilot"" ""there's too many of them!"" ""550"" ""lando"" ""accelerate to attack speed! draw their fire away from the cruisers."" ""551"" ""wedge"" ""copy, gold leader."" ""552"" ""emperor"" ""come, boy. see for yourself."" ""553"" ""emperor"" ""from here you will witness the final destruction of the alliance, and the end of your insignificant rebellion."" ""554"" ""emperor"" ""you want this, don't you? the hate is swelling in you now. take your jedi weapon. use it. i am unarmed. strike me down with it. give in to your anger. with each passing moment, you make yourself more my servant."" ""555"" ""luke"" ""no!"" ""556"" ""emperor"" ""it is unavoidable. it is your destiny. you, like your father, are now mine!"" ""557"" ""stormtrooper"" ""all right, move it! i said move it! go on!"" ""558"" ""threepio"" ""hello! i say, over there! were you looking for me?"" ""559"" ""bunker commander"" ""bring those two down here!"" ""560"" ""stormtrooper"" ""let's go!"" ""561"" ""threepio"" ""well, they're on their way. artoo, are you sure this was a good idea?"" ""562"" ""stormtrooper"" ""freeze! don't move!"" ""563"" ""threepio"" ""we surrender."" ""564"" ""threepio"" ""ohhh! stand back, artoo."" ""565"" ""leia"" ""the code's changed. we need artoo!"" ""566"" ""han"" ""here's the terminal."" ""567"" ""leia"" ""artoo, where are you? we need you at the bunker right away."" ""568"" ""threepio"" ""going? what do you mean, you're going. but but going where, artoo? no, what! artoo! oh, this is no time for heroics. come back!"" ""569"" ""lando"" ""watch yourself, wedge! three from above!"" ""570"" ""wedge"" ""red three, red two, pull in!"" ""571"" ""red two"" ""got it!"" ""572"" ""red three"" ""three of them coming in, twenty degrees!"" ""573"" ""wedge"" ""cut to the left! i'll take the leader! they're heading for the medical frigate."" ""574"" ""navigator"" ""pressure's steady."" ""575"" ""lando"" ""only the fighters are attacking. i wonder what those star destroyers are waiting for."" ""576"" ""commander"" ""we're in attack position now, sir."" ""577"" ""piett"" ""hold here."" ""578"" ""commander"" ""we're not going to attack?"" ""579"" ""piett"" ""i have my orders from the emperor himself. he has something special planned for them. we only need to keep them from escaping."" ""580"" ""emperor"" ""as you can see, my young apprentice, your friends have failed. now witness the firepower of this fully armed and operational battle station. fire at will, commander."" ""581"" ""jerjerrod"" ""fire!"" ""582"" ""lando"" ""that blast came from the death star! that thing's operational! home one, this is gold leader."" ""583"" ""ackbar"" ""we saw it. all craft prepare to retreat."" ""584"" ""lando"" ""you won't get another chance at this, admiral."" ""585"" ""ackbar"" ""we have no choice, general calrissian. our cruisers can't repel firepower of that magnitude."" ""586"" ""lando"" ""han will have that shield down. we've got to give him more time."" ""587"" ""threepio"" ""we're coming!"" ""588"" ""han"" ""come on! come on!"" ""589"" ""threepio"" ""oh, artoo, hurry!"" ""590"" ""threepio"" ""my goodness! artoo, why did you have to be so brave?"" ""591"" ""han"" ""well, i suppose i could hotwire this thing."" ""592"" ""leia"" ""i'll cover you."" ""593"" ""lando"" ""yes! i said closer! move as close as you can and engage those star destroyers at point blank range."" ""594"" ""ackbar"" ""at that close range, we won't last long against those star destroyers."" ""595"" ""lando"" ""we'll last longer then we will against that death star...and we might just take a few of them with us."" ""596"" ""rebel pilot"" ""she's gonna blow!"" ""597"" ""ywing pilot"" ""i'm hit!"" ""598"" ""emperor"" ""your fleet has lost. and your friends on the endor moon will not survive. there is no escape, my young apprentice. the alliance will die...as will your friends."" ""599"" ""emperor"" ""good. i can feel your anger. i am defenseless. take your weapon! strike me down with all your hatred, and your journey towards the dark side will be complete."" ""600"" ""walker pilot 1"" ""look!"" ""601"" ""pilot 2"" ""get him off of there!"" ""602"" ""han"" ""i think i got it. i got it!"" ""603"" ""threepio"" ""oh, princess leia, are you all right?"" ""604"" ""han"" ""let's see."" ""605"" ""leia"" ""it's not bad."" ""606"" ""stormtrooper"" ""freeze!"" ""607"" ""threepio"" ""oh, dear."" ""608"" ""stormtrooper"" ""don't move!"" ""609"" ""han"" ""i love you."" ""610"" ""leia"" ""i know."" ""611"" ""stormtrooper"" ""hands up! stand up!"" ""612"" ""han"" ""stay back."" ""613"" ""han"" ""chewie! get down here! she's wounded! no, wait.... i got an idea."" ""614"" ""emperor"" ""good. use your aggressive feelings, boy! let the hate flow through you."" ""615"" ""vader"" ""obiwan has taught you well."" ""616"" ""luke"" ""i will not fight you, father."" ""617"" ""vader"" ""you are unwise to lower your defenses."" ""618"" ""luke"" ""your thoughts betray you, father. i feel the good in you...the conflict."" ""619"" ""vader"" ""there is no conflict."" ""620"" ""luke"" ""you couldn't bring yourself to kill me before, and i don't believe you'll destroy me now."" ""621"" ""vader"" ""you underestimate the power of the dark side. if you will not fight, then you will meet your destiny."" ""622"" ""emperor"" ""good. good."" ""623"" ""lando"" ""watch out. squad at .06."" ""624"" ""rebel pilot"" ""i'm on it, gold leader."" ""625"" ""wedge"" ""good shot, red two."" ""626"" ""lando"" ""now...come on, han, old buddy. don't let me down."" ""627"" ""hanpilot"" ""it's over, commander. the rebels have been routed. they're fleeing into the woods. we need reinforcements to continue the pursuit."" ""628"" ""control room commander"" ""send three squads to help. open the back door."" ""629"" ""second commander"" ""yes, sir."" ""630"" ""han"" ""throw me another charge."" ""631"" ""vader"" ""you cannot hide forever, luke."" ""632"" ""luke"" ""i will not fight you."" ""633"" ""vader"" ""give yourself to the dark side. it is the only way you can save your friends. yes, your thoughts betray you. your feelings for them are strong. especially for..."" ""634"" ""vader"" ""sister! so...you have a twin sister. your feelings have now betrayed her, too. obiwan was wise to hide her from me. now his failure is complete. if you will not turn to the dark side, then perhaps she will."" ""635"" ""luke"" ""neverrr!"" ""636"" ""emperor"" ""good! your hate has made you powerful. now, fulfill your destiny and take your father's place at my side!"" ""637"" ""luke"" ""never! i'll never turn to the dark side. you've failed, your highness. i am a jedi, like my father before me."" ""638"" ""emperor"" ""so be it...jedi."" ""639"" ""han"" ""move! move!"" ""640"" ""ackbar"" ""the shield is down! commence attack on the death star's main reactor."" ""641"" ""lando"" ""we're on our way. red group, gold group, all fighters follow me. told you they'd do it!"" ""642"" ""emperor"" ""if you will not be turned, you will be destroyed."" ""643"" ""emperor"" ""young fool...only now, at the end, do you understand."" ""644"" ""emperor"" ""your feeble skills are no match for the power of the dark side. you have paid the price for your lack of vision."" ""645"" ""luke"" ""father, please. help me."" ""646"" ""emperor"" ""now, young skywalker...you will die."" ""647"" ""wedge"" ""i'm going in."" ""648"" ""lando"" ""here goes nothing."" ""649"" ""lando"" ""now lock onto the strongest power source. it should be the power generator."" ""650"" ""wedge"" ""form up. and stay alert. we could run out of space real fast."" ""651"" ""lando"" ""split up and head back to the surface. see if you can get a few of those tie fighters to follow you."" ""652"" ""pilot"" ""copy, gold leader."" ""653"" ""lando"" ""that was too close."" ""654"" ""ackbar"" ""we've got to give those fighters more time. concentrate all fire on that super star destroyer."" ""655"" ""controller"" ""sir, we've lost our bridge deflector shield."" ""656"" ""piett"" ""intensify the forward batteries. i don't want anything to get through."" ""657"" ""piett"" ""intensify forward firepower!"" ""658"" ""commander"" ""it's too late!"" ""659"" ""vader"" ""luke, help me take this mask off."" ""660"" ""lure"" ""but you'll die."" ""661"" ""vader"" ""nothing can stop that now. just for once... let me look on you with my own eyes."" ""662"" ""anakin"" ""now...go, my son. leave me."" ""663"" ""luke"" ""no. you're coming with me. i can't leave you here. i've got to save you."" ""664"" ""anakin"" ""you already have, luke. you were right about me. tell your sister...you were right."" ""665"" ""luke"" ""father... i won't leave you."" ""666"" ""wedge"" ""there it is!"" ""667"" ""lando"" ""all right, wedge. go for the power regulator on the north tower."" ""668"" ""wedge"" ""copy, gold leader. i'm already on my way out."" ""669"" ""ackbar"" ""move the fleet away from the death star."" ""670"" ""lando"" ""wedge, i don't think we're going to make it."" ""671"" ""wedge"" ""you'll make it. just follow me gold leader."" ""672"" ""lando"" ""i promised to return his ship without a scratch...i sure hope that old pirate forgives me."" ""673"" ""han"" ""lando..."" ""674"" ""threepio"" ""they did it!""",-0.9966,Negative,Neutral,4232,365,11.594520547945203,0.1852551984877126,25,1,0.6959174275398254,0.3815125524997711,0.2769552171230316,0.24935950338840485,0.2422633320093155,0.22912198305130005,-0.2594754695892334,condescending
AMERICAN_PSYCHO,INT. BATEMAN'S OFFICE - NIGHT,BATEMAN,"harold, it's bateman. patrick bateman. you're my lawyer so i think you should know i've killed a lot of people. some escort girls, in an apartment uptown, some homeless people, maybe five or ten, an nyu girl i met in central park. i left her in a parking lot, near dunkin' donuts. i killed bethany, my old girlfriend, with a nail gun, and a man, some old faggot with a dog. last week i killed another girl with a chainsaw i had to, she almost got away. there was someone else there, maybe a model, i can't remember but she's dead too. and paul owen. i killed paul owen with an ax, in the face. his body is dissolving in a bathtub in hell's kitchen. i don't want to leave anything out here... i guess i've killed 20 people, maybe 40 i have tapes of a lot of it. some of the girls have seen the tapes, i even... well i ate some of their brains and i tried to cook a little. tonight i just, well i had to kill a lot of people and i'm not sure i'm going to get away with it this time i mean i guess i'm a pretty sick guy. so if you get back tomorrow, i may show up at harry's bar so, you know, keep your eyes open. bateman hangs up the phone. the helicopter search light circles back, briefly illuminating the room. the camera rises up over bateman huddled in the corner, staring blankly at the sky.",-0.9899,Negative,Sadness,312,18,17.333333333333332,0.4647435897435897,2,0,0.39152416586875916,0.5347510576248169,0.40587764978408813,0.4729788303375244,0.4237290024757385,0.1036551371216774,0.49469923228025436,empathetic
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"i believe in taking care of myself, in a balanced diet, in a rigorous exercise routine. in the morning, if my face is a little puffy, i'll put on an ice pack while doing my stomach crunches. i can do a thousand now. bateman ties a plastic ice pack around his face. bateman does his morning stretching exercises in the living room wearing the ice pack a mirror lined bathroom. bateman is luxuriating in the shower steam, scrubbing his body, admiring his muscles. after i remove the icepack i use a deep pore cleanser lotion. in the shower i use a water activated gel cleanser, then a honeyalmond body scrub, and on the face an exfoliating gel scrub. bateman stands in front of a massive marble sink applying a gel facial masque. then i apply a herb mint facial masque which i leave on for ten minutes while i prepare the rest of my routine. bateman opens the door of a mirrored cabinet, which is stocked with immaculate rows of skin care products. he begins selecting bottles, jars and brushes, laying them in readiness on the marble counter. i always use an aftershave lotion with little or no alcohol because alcohol dries your face out and makes you look older. then moisturizer, then an antiaging eye balm, followed by a final moisturizing ""protective"" lotion...",0.7769,Positive,Neutral,254,14,18.142857142857142,0.515748031496063,1,0,0.06790619343519211,0.7939866185188293,0.9470788240432739,0.8161380887031555,0.07255606353282928,0.03325194492936134,2.383489329367876,supportive
AMERICAN_PSYCHO,INT. BATEMAN'S OFFICE - DAY,BATEMAN,"well, i could be wrong. well ....when was the last time you were with paul owen? we had .... gone to a new musical called ... 'oh africa, brave africa'. it was ... a laugh riot... and that's about it. i think we had dinner at orso's. no petaluma. no, orso's. the .... last time i physically saw him was .... at an automated teller. i can't remember which ...just one that was near, urn, nell's. kimball is clearly giving up on bateman for now. he opens his briefcase, to put away his notebook. well, thank you, mr. bateman. patrick, please. i hope i've been informative. long day a bit scattered. listen, i'm a little spent for now but how about lunch in a week or so when ive sorted out all this information? great, yes, i'd like that. and if you could try and pin down where you were the night of owen's disappearance, it would make my job a lot easier. absolutely. i'm with you on that one. kimball is rifling through his brief case. he pulls out a new shrinkwrapped cd and holds it up.",0.9784,Positive,Neutral,237,22,10.772727272727272,0.5021097046413502,8,1,0.17882871627807617,0.877726137638092,0.8571766018867493,0.6183009147644043,0.2497147023677826,0.1932121366262436,1.7314480990171432,empathetic
AMERICAN_PSYCHO,INT. BATEMAN'S OFFICE - MORNING,KIMBALL,"send him in, i guess. as she exits, he picks up the cordless phone and pretends to talk to someone at the other end. now john, you've got towear clothes in proportion to your physique. there are definite do's and don'ts, good buddy, of wearing a boldstriped shirt. a bold striped shirt calls for solid colored or discreetly patterned suits and ties... the door to the office opens and he waves in detective donald kimball. kimball is surprisingly young about bateman's age and good looking, dressed in a crumpled linen armani suit of the type bateman and his friends might wear. kimball sits down and crosses his legs with a selfassurance that makes bateman so nervous he forgets to carry on with his fake conversation. kimball looks up at him curiously, noticing the silence. right. and yes...always tip the stylist fifteen percent. bateman shrugs at the detective, rolling his eyes in exasperation. kimball nods understandingly. listen john, i've got to go. t. boone pickens just walked in... just joking... no don't tip the owner of the salon. okay john, right, got it. sorry about that. no, i'm sorry. i should've made an appointment.",-0.5504,Negative,Surprise,235,18,13.055555555555555,0.5361702127659574,4,0,0.44176891446113586,0.8166891932487488,0.7093551754951477,0.8477464318275452,0.7059641480445862,0.5780518054962158,0.6480059325695038,respectful
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - NIGHTI,CUT TO,"phil collins' solo efforts seem to be more commercial and therefore more satisfying in a narrower way, especially songs like 'in the air tonight' and 'against all odds'. sabrina, don't just stare at it. eat it. he walks over to the sound system in his bedroom and slides in the cd. but i also think that phil collins works better within the confines of the group than as a solo artist and i stress the word artist. this is 'sussudio', a great, great song, a personal favorite. sex montage cut to 'sussudio'. we see this in wide shot, or through the lens of the video camera. bateman asleep in his bed with christie and sabrina on either side of him. sabrina accidentally touches his wrist. bateman's eyes open. don't touch the rolex. bateman gets up from his bed and goes over to his armoire. he opens the drawer in which are a nail gun, a coat hanger, a rusty butter knife, and a halfsmoked cigar. he turns around to see christie and sabrina both starting to get up and get dressed. he takes the coat hanger. we're not through yet....",0.9124,Positive,Joy,225,17,13.235294117647058,0.52,1,0,0.2698116600513458,0.776582658290863,0.8355153799057007,0.5224589109420776,0.3962545096874237,0.4263850450515747,1.0421057343482971,supportive
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - NIGHTI,BATEMAN,"you have a really nice place here paul. how much did you pay for it? actually, that's none of your business, christie, but i can assure you it certainly wasn't cheap. bateman leaves to refill his wine glass and sabrina takes a pack of cigarettes out of her purse. bateman returns, carrying a tray of chocolates. no, no smoking. not in here. he walks over to christie. varda truffle? christie stares at the plate and shakes her head. sabrina takes one. i dont want you to get drunk, but that's a very fine chardonnay you're not drinking. bateman goes over to his cds and scans his vast collection. he takes one out and examines it. do you like phil collins? i've been a big genesis fan ever since the release of their 1980 album, duke. before that i really didn't understand any of their work. it was too artsy, too intellectual. it was on duke where phil collins' presence became more apparent. he puts aside the cd and takes out another one. i think 'invisible touch' is the group's undisputed masterpiece.",0.9612,Positive,Surprise,219,21,10.428571428571429,0.5251141552511416,0,1,0.5057145953178406,0.9496380090713501,0.9771633148193359,0.8986733555793762,0.46070507168769836,0.5361544489860535,1.3229005634784698,supportive
AMERICAN_PSYCHO,EXT. STREET - EVENING,BATEMAN,"i can't... i can't find a shelter. you reek. you reek of...shit. do you know that? goddammit, al look atme and stop crying like some kind of faggot. al... i'm sorry. bateman carefully puts the money back in his wallet. its just that... i don't know. i don't have anything in common with you. he opens his brief case and pulls out a long thin knife with a serrated edge. he pushes up the sleeve of his jacket to protect it. do you know what a fucking loser you are? homeless man's pov as bateman lunges at him with the knife. extreme wide shot of the street. bateman's shadowed figure is hunched over the homeless man, stabbing him in the stomach. the dog barks wildly and bateman stomps on it until it is silent. low angle shot of bateman as he throws a quarter on the ground. there's a quarter. go buy some gum. bateman walks calmly into the empty caverns of wall street. cars drift past, their headlights momentarily illuminating the body left twitching on the ground.",-0.9527,Negative,Sadness,215,21,10.238095238095235,0.5162790697674419,4,1,0.5340970158576965,0.0074910433031618595,0.00639744196087122,0.024682147428393364,0.49202486872673035,0.1752016842365265,-1.162752936128527,condescending
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,MCDERMOTT,"but i never told you what happened afterwards. so okay, i pick up this vassar chick at tunnel hot number, big tits, great legs, this chick was a little hardbody and so i buy her a couple of champagne kirs and she's in the city on spring break and she's practically blowing me in the chandelier room and so i take her back to my place whoa, wait. may i ask where pamela is during all this? oh fuck you. i want a blowjob, bateman. i want a chick who's gonna let me i don't want to hear this. he's going to say something disgusting. you prude. listen, we're not gonna invest in a coop together or jet down to saint bart's. i just want some chick whose face i can sit on for thirty, forty minutes. price throws a cigar at mcdermott, who catches it. anyway, so were back at my place,and listen to this. she's had enough champagne by now to get a fucking rhino tipsy, and get this she let you fuck her without a condom?",0.1647,Positive,Disgust,215,13,16.53846153846154,0.5395348837209303,0,1,0.9110130071640015,0.12449519336223602,0.1679869443178177,0.08917256444692612,0.8597729206085205,0.870492160320282,-2.259623385965824,condescending
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,BATEMAN,"oh, who gives a rat's ass? hey. that affects us. oh ho ho. that affects us? what about the massacres in sri lanka, honey? doesn't that affect us, too? i mean don't you know anything about sri lanka? about how the sikhs are killing like tons of israelis there? doesn't that affect us? oh come on, price. there are a lot more important problems than sri lanka to worry about. sure our foreign policy is important, but there are more pressing problems at hand. like what? well, we have to end apartheid for one. and slow down the nuclear arms race, stop terrorism and world hunger. but we can't ignore our social needs, either. we have to stop people from abusing the welfare system. we have to provide food and shelter for the homeless and oppose racial discrimination and promote civil rights while also promoting equal rights for women but change the abortion laws to protect the right to life yet still, somehow maintain women's freedom of choice. the table stares at bateman uncomfortably.",-0.3937,Negative,Fear,209,20,10.45,0.5454545454545454,0,1,0.967218279838562,0.5890729427337646,0.5107471942901611,0.5090093016624451,0.7185601592063904,0.9704130291938782,-1.0473620295524597,dismissive
